,caseId,caseName,issue,issueArea,decisionDirection,splitVote,majVotes,minVotes,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,justice1,justice2,justice3,justice4,justice5,justice6,justice7,justice8,justice9,justice1Code,justice2Code,justice3Code,justice4Code,justice5Code,justice6Code,justice7Code,justice8Code,justice9Code,justice1Direction,justice2Direction,justice3Direction,justice4Direction,justice5Direction,justice6Direction,justice7Direction,justice8Direction,justice9Direction,justice1Vote,justice2Vote,justice3Vote,justice4Vote,justice5Vote,justice6Vote,justice7Vote,justice8Vote,justice9Vote,justice1Opinion,justice2Opinion,justice3Opinion,justice4Opinion,justice5Opinion,justice6Opinion,justice7Opinion,justice8Opinion,justice9Opinion,justice1Majority,justice2Majority,justice3Majority,justice4Majority,justice5Majority,justice6Majority,justice7Majority,justice8Majority,justice9Majority
3295,1970-139,MCKEIVER et al. v. PENNSYLVANIA,20170,2,1,1,6,3,175,28,2,0,302,300,1,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,WODouglas,PStewart,TMarshall,WJBrennan,98,92,95,99,100,81,94,98,92,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3296,1970-140,UNITED STATES v. HARRIS,10050,1,1,1,5,4,27,100,1,0,73,26,0,3,2,BRWhite,WEBurger,HABlackmun,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,95,99,100,81,94,98,92,95,99,2,1,2,2,2,2,2,2,2,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
3299,1970-143,"CLAY, AKA ALI v. UNITED STATES",30130,3,2,1,8,0,142,27,1,0,121,25,0,2,1,WJBrennan,BRWhite,WEBurger,HABlackmun,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,92,95,99,100,81,94,98,92,95,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1
3300,1970-144,HUNTER v. TENNESSEE,10130,1,2,1,8,1,126,28,1,0,302,300,0,2,1,WEBurger,HABlackmun,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,99,100,81,94,98,92,95,99,100,1,1,1,1,1,1,1,1,1,2,2,4,1,4,4,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2
3301,1970-145,NEW YORK TIMES CO. v. UNITED STATES,30010,3,2,1,6,3,190,27,1,0,96,22,1,11,1,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,WODouglas,PStewart,81,94,98,92,95,99,100,81,94,2,2,2,2,2,1,1,2,2,1,1,1,4,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1
3316,1971-015,"RICHARDSON, SECRETARY OF HEALTH, EDUCATION, AND WELFARE v. BELCHER",20180,2,1,1,4,3,362,140,2,0,131,131,0,1,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3317,1971-016,CHEVRON OIL CO. v. HUSON,80050,8,2,1,7,0,198,145,1,0,75,25,0,4,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3321,1971-020,MAYER v. CITY OF CHICAGO,20370,2,2,1,7,0,213,3,2,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1
3322,1971-021,"VICTORY CARRIERS, INC., et al. v. LAW",80050,8,1,1,5,2,116,145,1,0,43,25,0,3,2,HABlackmun,LFPowell,WHRehnquist,WEBurger,WODouglas,WJBrennan,PStewart,BRWhite,TMarshall,100,101,102,99,81,92,94,95,98,2,1,1,1,2,1,1,1,1,3,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2
3323,1971-022,BRITT v. NORTH CAROLINA,20370,2,1,1,5,2,213,28,1,0,302,301,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2
3328,1971-027,PICARD v. CONNOR,10020,1,1,1,6,1,28,100,1,0,80,21,0,5,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2
3329,1971-028,"TOWNSEND et al. v. SWANK, DIRECTOR, DEPARTMENT OF PUBLIC AID OF ILLINOIS, et al.",20180,2,2,1,7,0,239,28,2,1,66,66,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3337,1971-036,RELIANCE ELECTRIC CO. v. EMERSON ELECTRIC CO.,80120,8,1,1,4,3,147,147,1,0,86,28,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2
3342,1971-041,CALIFORNIA MOTOR TRANSPORT CO. et al. v. TRUCKING UNLIMITED et al.,80010,8,2,1,7,0,245,245,1,0,50,29,0,3,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3348,1971-047,In re LITTLE,10080,1,2,1,9,0,100,28,1,0,302,302,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,1,1,1,1,3,1,1,1,4,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
3360,1971-059,DUNCAN v. TENNESSEE,10170,1,1,1,6,3,100,28,1,0,302,300,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2
3364,1971-063,SMITH et al. v. FLORIDA,40010,4,2,1,7,0,100,28,1,0,302,300,1,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3368,1971-067,"IOWA BEEF PACKERS, INC. v. THOMPSON et al.",90150,9,1,1,8,1,158,145,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2
3371,1971-070,ADAMS v. ILLINOIS,10040,1,1,1,5,2,100,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,2,1,1,1,4,3,1,3,3,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
3373,1971-072,RABE v. WASHINGTON,30190,3,2,1,9,0,156,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2
3374,1971-073,"CRUZ v. BETO, CORRECTIONS DIRECTOR",30160,3,2,1,8,1,215,19,1,0,121,25,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2
3375,1971-074,WILLIS v. PRUDENTIAL INSURANCE COMPANY OF AMERICA,20200,2,1,1,4,4,129,171,1,0,302,300,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2
3377,1971-076,"FEIN v. SELECTIVE SERVICE SYSTEM LOCAL BOARD NO. 7 OF YONKERS, NEW YORK, et al.",30130,3,1,1,4,3,142,407,1,0,96,22,1,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3379,1971-078,SCHNEBLE v. FLORIDA,10270,1,1,1,6,3,100,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2
3380,1971-079,"EISENSTADT, SHERIFF v. BAIRD",50020,5,2,1,6,1,28,165,2,0,80,21,1,5,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,3,3,1,2,2,2,2,5,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2
3381,1971-080,"LOPER v. BETO, CORRECTIONS DIRECTOR, et al.",10200,1,2,1,5,4,100,28,1,0,121,25,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,2,2,1,3,4,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2
3387,1971-086,ALEXANDER v. LOUISIANA,20040,2,2,1,7,0,222,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1
3388,1971-087,STANLEY v. ILLINOIS,20130,2,2,1,5,2,153,28,1,0,302,300,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,1,2,2,2,2,2,2,1,4,2,4,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1
3390,1971-089,"COLE, STATE HOSPITAL SUPERINTENDENT, et al. v. RICHARDSON",30090,3,1,1,4,3,28,8,2,1,80,80,0,1,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2
3391,1971-090,"GRUBBS, DBA T. R. GRUBBS TIRE & APPLIANCE v. GENERAL ELECTRIC CREDIT CORP.",90090,9,2,1,9,0,138,135,1,0,119,25,0,11,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3392,1971-091,"EVANSVILLE-VANDERBURGH AIRPORT AUTHORITY DISTRICT et al. v. DELTA AIRLINES, INC., et al.",80100,8,2,1,7,1,3,104,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1
3399,1971-098,WEBER v. AETNA CASUALTY & SURETY CO. et al.,20200,2,2,1,8,1,166,171,1,0,302,300,1,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,1,1,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2
3403,1971-102,WISCONSIN v. YODER et al.,30160,3,2,1,7,0,28,202,1,0,302,300,0,3,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,3,1,3,1,4,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2
3404,1971-103,"DUKES v. WARDEN, CONNECTICUT STATE PRISON",10030,1,1,1,7,2,126,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,1,1,1,4,4,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1
3406,1971-105,UNITED STATES v. BISWELL,10070,1,1,1,8,1,27,100,1,0,93,30,0,3,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3407,1971-106,ANDREWS v. LOUISVILLE & NASHVILLE RAILROAD CO. et al.,80050,8,1,1,7,1,145,231,1,0,60,25,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2
3408,1971-107,HUFFMAN v. BOERSEN,20350,2,2,1,9,0,236,236,1,0,302,300,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2
3409,1971-108,ATLANTIC COAST LINE RAILROAD CO. v. ERIE LACKAWANNA RAILROAD CO. et al.,80070,8,2,1,8,0,231,231,1,0,96,22,0,2,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
3410,1971-109,"STRAIT v. LAIRD, SECRETARY OF DEFENSE, et al.",10020,1,2,1,5,4,186,324,1,0,50,29,0,4,1,HABlackmun,LFPowell,WHRehnquist,WEBurger,WODouglas,WJBrennan,PStewart,BRWhite,TMarshall,100,101,102,99,81,92,94,95,98,2,1,1,1,2,2,2,2,2,4,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2
3415,1971-114,ZICARELLI v. NEW JERSEY STATE COMMISSION OF INVESTIGATION,10110,1,1,1,5,2,254,4,2,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,3,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,2
3418,1971-117,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 150, AFL-CIO v. FLAIR BUILDERS, INC.",70010,7,1,1,7,2,249,151,1,0,66,27,1,2,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2
3420,1971-119,"DEEPSOUTH PACKING CO., INC. v. LAITRAM CORP.",80180,8,2,1,5,4,184,172,1,0,75,25,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,1,1,4,1,4,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2
3421,1971-120,"JEFFERSON et al. v. HACKNEY, COMMISSIONER OF PUBLIC WELFARE, et al.",20180,2,1,1,5,4,212,28,2,1,120,120,0,9,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1
3423,1971-122,"CARLESON, DIRECTOR, DEPARTMENT OF SOCIAL WELFARE, et al. v. REMILLARD et al.",20190,2,2,1,9,0,28,212,2,1,50,50,1,3,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2
3424,1971-123,BROOKS v. TENNESSEE,10090,1,2,1,6,3,100,28,1,0,302,301,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,1,4,4,4,1,1,5,4,4,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1
3425,1971-124,FEDERAL POWER COMMISSION v. LOUISIANA POWER & LIGHT CO. et al.,80310,8,2,1,7,0,352,148,1,0,77,25,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,2,1,1,1,1,1,1,1,2,4,2,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2
3426,1971-125,UNITED STATES et al. v. MIDWEST VIDEO CORP.,80330,8,2,1,5,4,338,124,1,0,28,28,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2
3427,1971-126,KIRBY v. ILLINOIS,10150,1,1,1,5,4,110,28,1,0,302,301,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2
3428,1971-127,"BRUNETTE MACHINE WORKS, LTD. v. KOCKUM INDUSTRIES, INC.",80180,8,1,1,9,0,159,172,1,0,108,29,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2
3429,1971-128,JACKSON v. INDIANA,40010,4,2,1,7,0,136,28,1,0,302,300,1,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,1,1,1,1,3,1,1,1,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1
3430,1971-129,UNITED STATES et al. v. ALLEGHENY-LUDLUM STEEL CORP. et al.,80220,8,2,1,9,0,366,234,2,1,111,111,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2
3431,1971-130,FIRST NATIONAL CITY BANK v. BANCO NACIONAL DE CUBA,90490,9,2,1,5,4,113,24,1,0,96,22,1,4,1,HABlackmun,LFPowell,WHRehnquist,WEBurger,WODouglas,WJBrennan,PStewart,BRWhite,TMarshall,100,101,102,99,81,92,94,95,98,2,2,2,2,2,2,2,2,2,4,1,4,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
3432,1971-131,"LAIRD, SECRETARY OF DEFENSE, et al. v. NELMS et al.",80060,8,2,1,6,2,324,195,1,0,98,24,0,8,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2
3434,1971-133,THE BREMEN et al. v. ZAPATA OFF-SHORE CO.,80050,8,1,1,8,1,159,198,1,0,56,25,1,2,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,2,1,1,1,1,1,4,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2
3435,1971-134,"ARGERSINGER v. HAMLIN, SHERIFF",10120,1,2,1,9,0,100,28,1,0,302,300,1,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3437,1971-136,COLTEN v. KENTUCKY,30150,3,1,1,7,2,218,28,2,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3439,1971-138,"ADAMS, WARDEN v. WILLIAMS",10060,1,1,1,6,3,28,100,1,0,53,22,1,1,2,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,2,2,2,2,2,4,1,4,4,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2
3441,1971-140,"TAYLOR ET AL v. MCKEITHEN, GOVERNOR OF LOUISIANA, et al.",20090,2,2,1,6,3,251,28,1,0,75,25,0,3,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,3,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2
3446,1971-145,"MCNEIL v. DIRECTOR, PATUXENT INSTITUTION",40010,4,2,1,9,0,169,28,1,0,302,302,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2
3447,1971-146,FLOOD v. KUHN et al.,80010,8,1,1,5,3,216,216,1,0,96,22,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
3449,1971-148,SHADWICK v. CITY OF TAMPA,10050,1,1,1,9,0,100,3,2,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
3450,1971-149,MUREL et al. v. BALTIMORE CITY CRIMINAL COURT et al.,90150,9,1,1,8,1,169,28,1,0,79,24,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,4,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2
3451,1971-150,TURNER v. ARKANSAS,10170,1,2,1,8,0,100,28,1,0,302,300,0,2,1,HABlackmun,LFPowell,WHRehnquist,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,WEBurger,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
